channel	filename	read_length	exp_starttime	unix_timestamp	duration	unix_timestamp_end	iso_timestamp	day	hour	minute
100	MINION02_4teamawesome_2446_1_ch100_file5_strand.fast5	3101	1445624688	1445627374	27	1445627401	2015-10-23T15:09:34-0400	23	15	09
100	MINION02_4teamawesome_2446_1_ch100_file8_strand.fast5	6167	1445624688	1445627467	58	1445627525	2015-10-23T15:11:07-0400	23	15	11
107	MINION02_4teamawesome_2446_1_ch107_file0_strand.fast5	2798	1445624688	1445625187	27	1445625214	2015-10-23T14:33:07-0400	23	14	33
107	MINION02_4teamawesome_2446_1_ch107_file2_strand.fast5	1482	1445624688	1445625981	13	1445625994	2015-10-23T14:46:21-0400	23	14	46
107	MINION02_4teamawesome_2446_1_ch107_file3_strand.fast5	1679	1445624688	1445626018	21	1445626039	2015-10-23T14:46:58-0400	23	14	46
107	MINION02_4teamawesome_2446_1_ch107_file7_strand.fast5	942	1445624688	1445626275	16	1445626291	2015-10-23T14:51:15-0400	23	14	51
111	MINION02_4teamawesome_2446_1_ch111_file10_strand.fast5	1996	1445624688	1445625556	15	1445625571	2015-10-23T14:39:16-0400	23	14	39
111	MINION02_4teamawesome_2446_1_ch111_file11_strand.fast5	7117	1445624688	1445625599	55	1445625654	2015-10-23T14:39:59-0400	23	14	39
111	MINION02_4teamawesome_2446_1_ch111_file12_strand.fast5	3731	1445624688	1445625706	32	1445625738	2015-10-23T14:41:46-0400	23	14	41
111	MINION02_4teamawesome_2446_1_ch111_file13_strand.fast5	7447	1445624688	1445625775	163	1445625938	2015-10-23T14:42:55-0400	23	14	42
111	MINION02_4teamawesome_2446_1_ch111_file14_strand.fast5	3584	1445624688	1445626069	34	1445626103	2015-10-23T14:47:49-0400	23	14	47
111	MINION02_4teamawesome_2446_1_ch111_file15_strand.fast5	1271	1445624688	1445626131	15	1445626146	2015-10-23T14:48:51-0400	23	14	48
111	MINION02_4teamawesome_2446_1_ch111_file22_strand.fast5	3277	1445624688	1445626449	24	1445626473	2015-10-23T14:54:09-0400	23	14	54
111	MINION02_4teamawesome_2446_1_ch111_file2_strand.fast5	2648	1445624688	1445625112	22	1445625134	2015-10-23T14:31:52-0400	23	14	31
111	MINION02_4teamawesome_2446_1_ch111_file31_strand.fast5	2009	1445624688	1445628685	26	1445628711	2015-10-23T15:31:25-0400	23	15	31
111	MINION02_4teamawesome_2446_1_ch111_file37_strand.fast5	2483	1445624688	1445629038	21	1445629059	2015-10-23T15:37:18-0400	23	15	37
111	MINION02_4teamawesome_2446_1_ch111_file3_strand.fast5	3909	1445624688	1445625157	41	1445625198	2015-10-23T14:32:37-0400	23	14	32
111	MINION02_4teamawesome_2446_1_ch111_file41_strand.fast5	2082	1445624688	1445654580	14	1445654594	2015-10-23T22:43:00-0400	23	22	43
111	MINION02_4teamawesome_2446_1_ch111_file45_strand.fast5	3709	1445624688	1445655144	44	1445655188	2015-10-23T22:52:24-0400	23	22	52
111	MINION02_4teamawesome_2446_1_ch111_file47_strand.fast5	5164	1445624688	1445655886	200	1445656086	2015-10-23T23:04:46-0400	23	23	04
111	MINION02_4teamawesome_2446_1_ch111_file5_strand.fast5	706	1445624688	1445625245	7	1445625252	2015-10-23T14:34:05-0400	23	14	34
111	MINION02_4teamawesome_2446_1_ch111_file7_strand.fast5	1272	1445624688	1445625360	17	1445625377	2015-10-23T14:36:00-0400	23	14	36
118	MINION02_4teamawesome_2446_1_ch118_file10_strand.fast5	8563	1445624688	1445625407	96	1445625503	2015-10-23T14:36:47-0400	23	14	36
118	MINION02_4teamawesome_2446_1_ch118_file12_strand.fast5	6762	1445624688	1445625593	61	1445625654	2015-10-23T14:39:53-0400	23	14	39
118	MINION02_4teamawesome_2446_1_ch118_file13_strand.fast5	347	1445624688	1445625709	3	1445625712	2015-10-23T14:41:49-0400	23	14	41
118	MINION02_4teamawesome_2446_1_ch118_file14_strand.fast5	1295	1445624688	1445625718	11	1445625729	2015-10-23T14:41:58-0400	23	14	41
118	MINION02_4teamawesome_2446_1_ch118_file19_strand.fast5	1720	1445624688	1445626024	24	1445626048	2015-10-23T14:47:04-0400	23	14	47
118	MINION02_4teamawesome_2446_1_ch118_file1_strand.fast5	515	1445624688	1445624751	4	1445624755	2015-10-23T14:25:51-0400	23	14	25
118	MINION02_4teamawesome_2446_1_ch118_file24_strand.fast5	894	1445624688	1445626634	7	1445626641	2015-10-23T14:57:14-0400	23	14	57
118	MINION02_4teamawesome_2446_1_ch118_file27_strand.fast5	1701	1445624688	1445626831	14	1445626845	2015-10-23T15:00:31-0400	23	15	00
118	MINION02_4teamawesome_2446_1_ch118_file2_strand.fast5	989	1445624688	1445624764	8	1445624772	2015-10-23T14:26:04-0400	23	14	26
118	MINION02_4teamawesome_2446_1_ch118_file3_strand.fast5	7922	1445624688	1445624781	75	1445624856	2015-10-23T14:26:21-0400	23	14	26
118	MINION02_4teamawesome_2446_1_ch118_file4_strand.fast5	1851	1445624688	1445625011	26	1445625037	2015-10-23T14:30:11-0400	23	14	30
118	MINION02_4teamawesome_2446_1_ch118_file8_strand.fast5	1714	1445624688	1445625361	14	1445625375	2015-10-23T14:36:01-0400	23	14	36
